,Pretreatment_Quercetin1,Pretreatment_Quercetin2,Pretreatment_Quercetin3,Pretreatment_Quercetin4,Pretreatment_Quercetin5,Pretreatment_Quercetin6,Pretreatment_Quercetin7
ID_REF,GSM1922995,GSM1923002,GSM1923008,GSM1923015,GSM1923018,GSM1923022,GSM1923017
8098916,7.353479,7.372781,7.291788,7.419505,7.625978,7.223241,7.3229
7956488,5.094552,5.282713,5.314664,5.314988,5.263687,5.317883,5.352452
8099255,5.649503,5.589329,5.745652,5.407535,5.699436,5.775961,6.06369
7963646,8.069464,8.133959,7.652183,8.358131,8.428202,8.134928,7.859185
8167441,6.920648,6.988036,6.664052,6.855977,6.797925,6.803174,6.845341
8139488,6.525016,6.560922,6.720218,6.652904,6.56117,6.588305,6.214596
8145175,7.932076,7.963624,8.227547,8.129519,8.217295,7.963799,8.310588
7980481,3.465516,3.875424,3.710306,3.530874,3.419926,3.7745,3.832637
7930917,6.651561,6.477906,6.616315,6.758701,6.930809,6.391846,6.739294
7959772,6.59424,6.921778,6.670958,6.883722,6.696633,6.772199,6.76037
7987099,5.458396,5.531458,5.607513,5.540287,5.343598,5.382419,5.229625
8124691,8.28267,8.284209,8.397586,8.666966,8.337132,8.301447,8.002065
7928915,6.287763,6.264239,6.515909,6.244853,6.33037,6.414308,6.507377
8131296,6.134382,6.339434,6.194812,6.136757,5.987985,6.189639,6.628005
7944262,7.095653,7.19,6.993776,7.180349,7.489109,7.141131,6.780099
8171791,3.01267,3.116178,2.992576,2.981067,2.943692,2.93357,3.043721
7910946,2.234001,2.235148,2.335688,2.256195,2.227761,2.421097,2.28658
8009513,5.735322,6.077398,5.783744,5.720867,5.858529,5.503897,5.683457
8090152,3.666443,4.389879,4.38859,3.939144,4.027417,3.779466,4.167376
8070900,4.461745,4.880075,5.094607,4.780681,5.187083,4.732329,5.142586
8021150,4.791337,4.665467,4.614187,4.839589,4.877796,4.795287,4.970654
8166797,9.697283,9.36658,9.515939,9.539902,9.712801,9.30759,9.911271
7932000,8.185681,7.93944,7.749943,7.931746,7.487709,7.83655,7.514571
8038314,6.051934,6.197436,5.980867,6.080805,5.975305,6.025711,5.890334
7946635,8.891969,9.196922,9.089902,9.015957,8.691094,9.161932,8.686288
8042962,6.495251,6.073175,6.100179,6.171565,6.359554,6.168537,5.889445
7940189,3.098,3.318174,3.678528,3.444986,2.960777,3.481892,3.53516
8098204,3.470775,3.640148,3.650486,3.534872,3.979572,3.725507,3.59012
