"","preEGCG_Means","Post_EGCG_Means","Post_EGCG_Quercentin_Means","MI_Male_Means","HealthyMale_Means"
"LILRA1",10.5640992857143,10.5612585714286,10.4957285714286,8.657490566,8.26110304666667
"LILRA2",9.94188735714286,9.89734642857143,9.855443,7.8552162135,7.43419057766667
"LILRA3",9.69523007142857,9.47291671428571,9.59162257142857,8.25815424566667,7.9451713915
"LILRA4",6.72683857142857,6.77495657142857,6.58313885714286,4.99880556033333,4.99916405166667
"LILRA5",9.35513385714286,9.33551414285714,9.31819228571429,7.34819167316667,6.97770661583333
"LILRB1",8.67936778571429,8.55304085714286,8.736092,7.8629212275,7.597107885
"LILRB2",10.1554517857143,10.0395667142857,10.0940724285714,8.8756348165,8.49861973533333
"LILRB3",10.4411042857143,10.4083205714286,10.4520871428571,7.66733677916667,7.282299377
"LILRB4",7.97000971428571,7.87265028571429,8.05921957142857,6.712997713,6.316753022
"LILRB5",6.19388371428571,6.19280757142857,6.18934357142857,4.82915189966667,4.74323448316667
"LILRP2",6.15846064285714,6.14947314285714,6.095631,4.37881923033333,4.287713367
"LIM2",5.68142364285714,5.70446785714286,5.694422,4.75095714166667,4.72060247266667
"LIMA1",6.94889057142857,6.92983342857143,7.06368271428571,5.46568836983333,5.8234600355
"LIMCH1",4.46059257142857,4.50341657142857,4.34492942857143,3.07191875783333,3.0432678215
"LIMD1",8.11636442857143,8.05797157142857,8.05225128571429,6.9147164945,6.96595043666667
"LIMD1-AS1",6.21516678571429,6.18676364285714,6.35637864285714,4.525938943,4.44494823383333
"LIMD2",10.1792073571429,10.2286357142857,10.0522464285714,7.51051686983333,7.50758966966667
"LIME1",7.54617235714286,7.55181671428571,7.47027314285714,6.29158472966667,6.22784111666667
"LIMK1",8.60016492857143,8.52883328571428,8.58061942857143,6.6982464515,6.610497179
"LIMK2",9.72828042857143,9.70027228571429,9.80394928571429,6.280806007,6.1158540955
"LIMS1",8.72826885714286,8.73467657142857,8.78636542857143,7.68659838533333,7.64452106083333
"LIMS2",6.44339428571429,6.40565442857143,6.35716228571429,5.696099504,5.652379658
"LIN28A",5.01457028571429,5.077491,4.90335857142857,4.05494129083333,4.02057641033333
"LIN28B",3.51994335714286,3.45949428571429,3.42187257142857,3.2040835235,3.21425520516667
"LIN37",7.41396742857143,7.29001307142857,7.4474545,5.8986250135,5.87025751716667
"LIN52",7.4451125,7.47677585714286,7.535198,5.70478116866667,5.85857429533333
"LIN54",7.85082321428571,7.85965928571429,7.96620842857143,4.799914183,4.94142271066667
"LIN7A",8.97522135714286,9.0519,8.96459614285714,6.78652722616667,6.25696730733333
"LIN7B",5.86474071428571,5.75610871428571,5.76579014285714,5.2787960845,5.18329647933333
"LIN7C",8.52597664285714,8.56793457142857,8.52614457142857,7.42853453166667,7.51240738483333
"LIN9",5.65318342857143,5.58309785714286,5.74003685714286,4.55765527033333,4.674891268
"LINC00028",4.5149505,4.69649671428571,4.64009785714286,5.063927635,5.07179352183333
"LINC00029",4.98204042857143,4.94872414285714,4.91120028571429,4.46206417883333,4.37290528266667
"LINC00052",3.37310257142857,3.35486414285714,3.42285985714286,2.87664738616667,2.8193499675
"LINC00158",3.25707578571429,3.19288071428571,3.20103785714286,2.80995377266667,2.80120143783333
"LINC00161",3.56067142857143,3.64641285714286,3.39868457142857,2.740659958,2.74829220716667
"LINC00167",5.22978657142857,5.25633114285714,5.162357,3.81582527816667,3.796168636
"LINC00173",7.2595285,7.29225357142857,7.15452885714286,4.36860083616667,4.22838786183333
"LINC00174",7.15245142857143,7.146348,7.02495242857143,5.54365716483333,5.49098428016667
"LINC00189",6.26649714285714,5.69279157142857,6.49044171428571,5.3189742375,5.410236982
"LINC00200",5.22302135714286,5.31231628571429,5.13212328571429,3.51327738233333,3.4960183835
"LINC00207",5.1094805,5.13676428571429,5.17171328571429,4.55003252516667,4.47043229333333
