"","GSM1923000","GSM1923004","GSM1923010","GSM1923012","GSM1923007","GSM1923020","GSM192998","GSM1922995","GSM1923002","GSM1923008","GSM1923015","GSM1923018","GSM1923022","GSM1923017"
"HIST1H4F",7.107608,7.1214,7.049989,7.263313,7.322099,7.415617,7.279727,7.240294,7.470349,7.540161,7.445723,7.4992,7.266603,7.200762
"HIST1H4G",3.890163,3.882584,3.941625,4.109178,3.757896,4.094428,4.362525,3.777585,3.887654,3.962934,3.775463,3.636006,3.888667,3.878276
"HIST1H4H",9.219591,9.167622,9.281949,8.947236,8.418194,8.87587,8.442777,8.586933,8.570177,8.936357,8.895393,8.635605,8.484257,9.35447
"HIST1H4I",6.23624,5.960686,5.905676,6.379579,5.890896,6.10279,6.259254,6.175394,6.345896,6.267509,6.045074,5.79714,6.248207,5.996665
"HIST1H4K",7.1994645,7.086597,7.2681745,7.6213735,8.179688,7.3761065,7.799598,7.4200685,7.287679,7.5757045,7.4762295,7.765315,7.2495755,7.149706
"HIST1H4L",8.271328,8.426755,7.829944,8.907719,8.697327,8.348104,8.506429,8.353731,9.084188,8.856454,8.541548,8.744621,8.694134,8.168486
"HIST2H2AA3",9.447596,9.692126,9.708752,9.151661,9.47121,9.908575,9.343104,9.015476,9.846576,9.893788,9.683931,9.421637,9.864848,9.733161
"HIST2H2AB",8.46322,8.56759,8.650703,8.816985,8.622629,8.503004,8.287893,8.487509,8.875283,8.831678,8.842434,8.57382,8.580119,8.733429
"HIST2H2AC",8.996567,9.05794,9.196102,9.397827,9.045364,9.154823,8.949706,8.974241,9.428023,9.259056,9.094308,9.146056,9.495988,9.111329
"HIST2H2BD",9.1224725,8.7477165,9.030441,8.887027,9.30353,8.992167,9.14329,9.022745,9.0941425,9.0465115,9.347539,8.8929065,9.12622,9.118815
"HIST2H2BE",9.675205,9.529708,9.243631,9.651275,9.530207,9.319308,9.313485,9.276226,9.519912,9.458238,9.29312,9.517459,9.229026,9.8957
"HIST2H2BF",10.1159856666667,10.271389,10.231531,10.344732,10.1483393333333,10.2255526666667,9.90272166666667,10.0779436666667,10.2396656666667,10.280273,10.3224953333333,10.158096,10.2168666666667,10.3931633333333
"HIST2H3D",7.45934275,7.45585925,7.64190225,7.79301175,7.5134785,7.580941,7.6515325,7.51252875,7.74141525,7.64899525,7.35219775,7.87709225,7.4780375,7.92547125
"HIST2H3DP1",7.172198,6.800456,7.03134,7.057359,6.62553,7.172095,7.21134,6.710639,6.811214,6.979861,6.989463,7.039511,7.338215,7.039511
"HIST2H4A",9.2948505,9.2392745,9.3392005,9.0842885,8.488265,9.3242385,8.4073285,8.6376585,9.411734,9.5519575,9.376872,9.0999265,9.53662,9.4191385
