,Posttreatment_Placebo1,Posttreatment_Placebo2,Posttreatment_Placebo3,Posttreatment_Placebo4,Posttreatment_Placebo5,Posttreatment_Placebo6,Posttreatment_Placebo7
ID_REF,GSM1923001,GSM1923005,GSM1923011,GSM1923013,GSM1923021,GSM1923006,GSM1923014
7972546,5.766873,5.899858,5.807892,5.985785,5.799519,5.642286,5.982796
8177344,4.95704,4.777661,4.860205,4.764173,4.836508,4.877462,4.775732
7930413,6.859524,6.840332,7.406599,7.067176,7.007576,7.205817,7.110616
8105179,3.152168,3.102766,3.089952,3.154044,3.114607,3.316072,2.973921
8080896,7.669268,7.718122,7.684341,7.973633,7.493537,7.500769,8.076294
7991668,5.848172,5.82799,5.773139,5.701437,5.451423,5.730956,5.725348
8172800,4.124864,4.280812,4.340125,3.896946,4.002249,4.317651,4.085739
8061227,6.158465,6.713244,6.559103,6.103485,6.098754,6.420434,6.090635
7951853,4.81201,4.925373,5.01224,4.803486,5.040276,4.951424,5.038553
8049702,6.661837,6.680358,6.597479,6.521984,6.686148,6.72147,6.808736
8067942,5.185721,5.243137,5.266432,5.267443,4.989091,5.197793,5.716934
8061154,6.65804,6.614342,6.766662,6.538424,6.442051,6.549604,6.591327
8107162,4.990104,5.066763,5.150283,4.879925,4.901579,4.796543,4.85751
7906898,4.797096,4.499576,4.926888,4.838752,5.304249,5.212765,4.716963
8128034,9.947021,9.635515,9.871043,10.04779,10.0235,9.704597,9.857398
8009353,10.28105,10.5591,10.35005,10.14739,10.1447,10.09987,10.42209
8055284,6.921237,6.995041,7.135986,6.824481,6.794488,7.19247,7.219913
8037594,6.94525,6.764854,6.948416,6.871047,6.966661,7.079026,6.774447
8003193,5.822051,5.523593,5.841208,5.46201,5.595993,5.516974,5.625309
8013358,2.087033,2.088735,2.193099,2.228888,2.428481,2.235527,2.250176
7899955,8.754152,8.735758,8.683287,8.517536,8.494146,8.01553,8.983567
8038213,4.666403,4.343681,4.695749,4.240596,4.525087,4.469204,4.585409
8124008,6.305431,7.201268,6.79806,6.696144,6.902132,6.8378,6.850347
7994813,5.560365,5.421297,5.484399,5.576792,5.122386,5.475353,5.47023
8151532,2.788499,2.76124,2.710585,2.498765,2.826095,2.644177,2.725456
8104592,5.115176,5.031475,5.338332,4.7431,5.063222,5.120035,5.132823
7953763,5.900122,5.573328,5.9421,5.455132,5.999232,5.780299,5.704181
8123332,5.117591,4.964148,5.16194,4.802695,5.079867,4.766175,4.920329
8046530,4.729946,4.469566,4.613474,4.562309,4.501867,4.441873,4.492262
7983890,5.503879,6.377432,5.895792,5.265245,6.017591,5.893112,6.503652
8161384,5.134542,5.178161,3.825362,5.290606,5.634693,5.20384,4.666351
8148692,5.34497,4.76464,5.034577,4.986909,5.01412,5.028147,5.068042
8125850,9.352362,9.281261,9.36156,9.442951,9.290394,9.2732,9.499512
8078962,8.930005,9.364799,8.462153,9.09317,8.970417,8.887486,8.868793
8161482,3.369533,3.406136,3.499618,3.397657,3.508533,3.572546,3.330875
7970413,9.819038,9.77485,9.80753,9.873774,9.681381,9.781444,9.66687
8155503,5.664661,6.051212,5.497918,5.710626,5.834886,5.636768,5.914796
8150014,8.13991,8.424538,8.251738,8.372401,8.090434,8.314981,8.400877
8107518,5.879158,6.368692,6.01393,6.212202,6.019271,5.990288,6.000268
8151471,5.2842,5.888599,5.450637,5.380291,5.666409,5.478081,5.432295
7937959,3.380715,3.462298,3.523541,3.367056,3.312842,3.394064,3.311118
8155942,6.646897,6.536476,6.621184,6.332637,6.58194,6.649174,6.570477
7901253,4.743107,4.515214,4.905481,4.835625,5.072072,4.592129,4.627986
8127660,5.872091,5.103828,5.877503,5.642262,5.519644,5.679921,5.823619
8083709,7.784439,7.975941,7.976126,7.893136,7.951539,7.901583,7.971103
7908409,11.30513,11.07128,11.21101,11.20652,11.59979,11.51924,11.13664
8036989,6.482161,6.071375,6.306968,5.887325,6.097836,5.958848,6.131078
7947934,8.307198,8.82288,8.766479,8.49066,8.415316,8.515876,8.448373
7947396,6.978271,7.586082,7.050163,7.189224,7.070866,7.298195,7.178152
7991598,6.736311,6.996391,6.607649,6.347661,6.647206,6.370531,6.504059
8020760,6.423836,6.305807,6.329724,6.314155,6.426492,6.327353,6.387017
8047248,6.1306,6.355761,5.996184,6.711334,5.935249,5.861573,6.911913
8024356,6.699985,6.664998,6.518854,6.694966,6.678961,6.581349,7.041165
7930954,5.057435,4.947979,5.300478,5.118489,5.057435,5.083768,4.993834
8135037,3.680809,3.429248,3.421115,3.320852,3.36165,3.446376,3.502322
8041179,7.871403,8.263003,8.268055,7.879701,8.022869,7.889024,8.107464
7939005,5.044713,5.119571,5.25662,5.118205,4.856074,5.308024,5.042678
7977077,9.438901,9.555548,9.24805,9.311733,9.515491,9.49023,9.458746
8014160,5.386161,5.391582,5.23578,4.764088,4.752656,5.082984,5.442039
8001064,3.800483,4.198095,4.056965,3.726216,3.678813,3.609297,3.556317
8176076,7.454416,7.356417,7.869865,7.88792,7.531332,7.700418,7.75352
8075728,10.82879,10.52169,10.9598,10.36502,10.77472,10.60752,10.57375
7962212,6.05533,6.490209,6.509939,6.171005,6.322741,6.413887,6.319633
8149835,5.456892,5.837268,6.03352,6.385454,6.251864,6.184201,5.679725
8141829,10.06664,10.62921,10.14171,10.2311,10.28407,10.13442,10.35806
7991465,4.722764,4.385836,4.757208,4.512571,5.221681,4.647311,4.722764
7904203,3.346065,3.348253,3.298797,3.236581,3.282121,3.396046,3.568048
8042519,7.744501,7.676919,7.918111,7.687124,7.830832,7.653342,7.937356
8158177,7.397645,7.475301,7.148379,7.432256,7.09734,7.514361,7.497938
8094136,4.923974,4.755542,5.046248,4.531457,4.849436,4.761173,4.80582
7969300,4.453188,4.038011,4.29751,4.225867,4.460739,4.166177,4.44603
8108006,6.096826,6.051219,6.251586,6.390224,6.143508,6.108431,6.155477
